,ccd,qid,rcid,field
200000.0,8,4,31,282
200001.0,2,1,4,1142
200001.0,9,1,32,107
200001.0,12,2,45,108
200002.0,3,2,9,282
200002.0,12,1,44,1275
200003.0,5,4,19,1273
200003.0,8,3,30,1274
200003.0,13,3,50,232
200004.0,2,1,4,280
200004.0,10,2,37,1273
200005.0,2,3,6,281
200005.0,11,4,43,1274
200006.0,7,4,27,1077
200006.0,14,4,55,46
200007.0,14,1,52,187
200008.0,7,4,27,1227
200008.0,15,3,58,187
200009.0,5,3,18,1227
200009.0,14,4,55,187
200010.0,3,2,9,1323
200010.0,12,1,44,281
200011.0,3,4,11,1274
200011.0,11,3,42,233
200012.0,14,3,54,231
200013.0,7,3,26,282
200013.0,16,3,62,1275
200014.0,3,1,8,281
200014.0,11,3,42,1274
200015.0,3,4,11,281
200015.0,11,3,42,1274
200016.0,7,1,24,233
200016.0,15,3,58,1228
200017.0,8,4,31,282
200017.0,13,4,51,1274
200018.0,6,3,22,1375
200018.0,15,4,59,332
200019.0,7,4,27,1274
200019.0,15,3,58,233
200020.0,14,2,53,1227
200021.0,3,4,11,233
200021.0,12,4,47,1228
200022.0,8,3,30,687
200023.0,7,4,27,1274
200023.0,15,3,58,233
200024.0,6,3,22,1228
200024.0,15,4,59,188
200025.0,12,1,44,146
200026.0,6,2,21,1274
200026.0,15,2,57,233
200027.0,2,3,6,281
200027.0,15,2,57,233
200029.0,1,2,1,232
200029.0,10,4,39,1227
200030.0,2,1,4,281
200030.0,10,2,37,1274
200031.0,16,2,61,233
200032.0,4,4,15,282
200032.0,9,3,34,1274
200033.0,6,4,23,145
200033.0,13,3,50,1143
200034.0,2,1,4,1274
200034.0,10,2,37,233
200035.0,10,1,36,1586
200036.0,2,4,7,332
200036.0,7,1,24,1324
200036.0,15,2,57,282
200037.0,6,2,21,233
200037.0,15,1,56,1228
200038.0,3,4,11,1106
200038.0,13,1,48,1076
200038.0,16,2,61,1077
200039.0,3,2,9,1323
200039.0,12,4,47,281
200040.0,2,2,5,232
200040.0,11,1,40,1227
200041.0,6,3,22,1274
200041.0,15,4,59,233
200042.0,1,1,0,1273
200043.0,5,2,17,331
200043.0,14,2,53,1323
200044.0,2,4,7,1374
200044.0,15,1,56,1323
200045.0,1,4,3,1273
200045.0,4,3,14,1274
200045.0,9,3,34,232
200046.0,3,1,8,1274
200046.0,12,1,44,233
200047.0,6,3,22,1274
200048.0,4,1,12,282
200048.0,9,1,32,1274
200048.0,12,2,45,1275
200049.0,2,4,7,1228
200049.0,10,3,38,188
200050.0,1,1,0,1274
200050.0,4,2,13,1275
200050.0,9,2,33,233
200051.0,2,4,7,231
200051.0,10,3,38,1226
200052.0,3,1,8,1325
200052.0,12,1,44,283
200053.0,2,1,4,232
200053.0,10,2,37,1227
200054.0,6,3,22,1274
200054.0,15,4,59,233
200055.0,8,2,29,282
200055.0,13,2,49,1274
200056.0,2,2,5,1728
200056.0,11,1,40,687
200057.0,2,2,5,279
200057.0,10,3,38,1272
200058.0,4,3,14,282
200058.0,9,3,34,1274
200059.0,14,4,55,326
200060.0,5,4,19,434
200061.0,1,2,1,1608
200061.0,9,1,32,562
200061.0,12,2,45,563
200062.0,10,1,36,216
200063.0,6,4,23,340
200064.0,5,3,18,232
