fieldID,filter,0
199,g,76
199,r,73
200,g,69
200,r,82
201,g,68
201,r,67
202,g,73
202,i,1
202,r,62
203,g,57
203,r,65
204,g,58
204,r,63
205,g,67
205,i,1
205,r,59
206,g,64
206,r,60
207,g,57
207,r,49
208,g,51
208,r,58
209,g,54
209,r,52
210,g,57
210,r,55
211,g,64
211,r,53
212,g,50
212,r,53
213,g,54
213,r,58
214,g,57
214,i,6
214,r,49
215,g,55
215,i,2
215,r,41
216,g,47
216,r,49
217,g,42
217,r,53
218,g,49
218,r,46
219,g,42
219,r,49
220,g,41
220,r,49
221,g,42
221,r,46
222,g,48
222,r,41
223,g,52
223,r,50
224,g,53
224,r,51
225,g,58
225,r,55
226,g,52
226,r,48
227,g,48
227,r,58
228,g,54
228,r,51
229,g,54
229,r,47
230,g,53
230,r,57
231,g,65
231,r,63
232,g,55
232,r,60
233,g,57
233,r,63
234,g,68
234,r,62
235,g,67
235,r,66
236,g,67
236,r,49
237,g,60
237,r,55
238,g,61
238,r,55
239,g,57
239,i,1
239,r,67
240,g,67
240,r,67
241,g,66
241,r,63
242,g,64
242,r,65
243,g,60
243,r,64
244,g,65
244,r,64
245,g,149
245,i,10
245,r,145
246,g,152
246,i,13
246,r,159
247,g,143
247,i,13
247,r,143
248,g,143
248,i,12
248,r,134
249,g,131
249,i,10
249,r,126
250,g,129
250,i,5
250,r,125
251,g,127
251,r,117
252,g,120
252,r,113
253,g,120
253,r,111
254,g,106
254,r,101
255,g,103
255,r,106
256,g,103
256,r,101
257,g,110
257,r,667
258,g,106
258,r,549
259,g,88
259,r,576
260,g,110
260,i,8
260,r,454
261,g,116
261,i,3
261,r,433
262,g,93
262,r,437
263,g,98
263,r,94
264,g,102
264,r,102
265,g,102
265,r,96
266,g,102
266,i,1
266,r,94
267,g,107
267,r,88
268,g,104
268,r,94
269,g,105
269,r,91
270,g,97
270,r,99
271,g,96
271,r,101
272,g,101
272,r,95
273,g,101
273,r,108
274,g,101
274,r,103
275,g,105
275,r,115
276,g,109
276,r,120
277,g,120
277,r,112
278,g,102
278,r,109
279,g,108
279,r,279
280,g,106
280,r,284
281,g,130
281,i,191
281,r,298
282,g,106
282,i,186
282,r,277
283,g,123
283,r,265
284,g,112
284,r,259
285,g,129
285,r,113
286,g,135
286,r,119
287,g,136
287,i,1
287,r,140
288,g,120
288,i,2
288,r,129
289,g,134
289,r,137
290,g,143
290,r,130
291,g,126
291,i,1
291,r,127
292,g,123
292,i,26
292,r,136
293,g,124
293,i,24
293,r,128
294,g,184
294,i,55
294,r,205
295,g,179
295,i,65
295,r,183
296,g,169
296,i,62
296,r,179
297,g,176
297,i,66
297,r,174
298,g,182
298,i,52
298,r,179
299,g,183
299,i,50
299,r,192
300,g,194
300,i,49
300,r,190
301,g,190
301,i,37
301,r,192
302,g,183
302,i,38
302,r,188
303,g,190
303,i,38
303,r,193
304,g,183
304,i,38
304,r,194
305,g,195
305,i,34
305,r,204
306,g,189
306,r,197
307,g,134
307,r,146
308,g,120
308,r,502
309,g,165
309,i,28
309,r,517
310,g,166
310,i,19
310,r,678
311,g,134
311,i,31
311,r,416
312,g,145
312,i,30
312,r,145
313,g,138
313,i,32
313,r,145
314,g,138
314,i,29
314,r,143
315,g,133
315,i,32
315,r,137
316,g,131
316,i,30
316,r,137
317,g,144
317,i,29
317,r,133
318,g,129
318,i,34
318,r,142
319,g,138
319,i,38
319,r,149
320,g,139
320,i,38
320,r,144
321,g,131
321,i,41
321,r,154
322,g,131
322,i,41
322,r,162
323,g,137
323,i,41
323,r,180
324,g,146
324,i,56
324,r,174
325,g,150
325,r,212
326,g,142
326,i,49
326,r,175
327,g,145
327,r,190
328,g,157
328,r,207
329,g,164
329,r,198
330,g,158
330,r,345
331,g,157
331,r,342
332,g,179
332,i,173
332,r,372
333,g,200
333,i,182
333,r,382
334,g,176
334,r,363
335,g,188
335,r,372
336,g,182
336,i,3
336,r,213
337,g,189
337,i,51
337,r,210
338,g,183
338,i,54
338,r,237
339,g,194
339,i,48
339,r,236
340,g,182
340,i,69
340,r,193
341,g,172
341,i,66
341,r,220
342,g,174
342,i,70
342,r,200
343,g,163
343,i,50
343,r,205
344,g,157
344,i,50
344,r,195
345,g,189
345,i,58
345,r,226
346,g,186
346,i,54
346,r,233
347,g,187
347,i,51
347,r,231
348,g,195
348,i,53
348,r,215
349,g,334
349,i,54
349,r,367
350,g,320
350,i,58
350,r,310
351,g,211
351,i,42
351,r,211
352,g,221
352,i,41
352,r,209
353,g,224
353,i,40
353,r,228
354,g,229
354,i,39
354,r,233
355,g,232
355,i,39
355,r,218
356,g,178
356,r,174
357,g,163
357,r,182
358,g,158
358,r,170
359,g,199
359,i,31
359,r,199
360,g,202
360,i,29
360,r,526
361,g,159
361,r,164
362,g,156
362,i,38
362,r,163
363,g,152
363,i,37
363,r,170
364,g,162
364,i,38
364,r,165
365,g,156
365,i,37
365,r,172
366,g,160
366,i,35
366,r,167
367,g,163
367,i,36
367,r,416
368,g,155
368,i,37
368,r,190
369,g,147
369,i,43
369,r,181
370,g,145
370,i,42
370,r,198
371,g,154
371,i,43
371,r,216
372,g,153
372,i,47
372,r,204
373,g,162
373,i,49
373,r,206
374,g,174
374,i,68
374,r,245
375,g,162
375,i,65
375,r,263
376,g,170
376,r,249
377,g,180
377,i,72
377,r,225
378,g,184
378,r,239
379,g,193
379,r,269
380,g,185
380,r,292
381,g,198
381,r,422
382,g,199
382,r,465
383,g,267
383,i,159
383,r,500
384,g,258
384,i,163
384,r,538
385,g,212
385,r,473
386,g,220
386,i,3
386,r,468
387,g,222
387,r,271
388,g,223
388,i,62
388,r,309
389,g,212
389,r,294
390,g,211
390,i,92
390,r,251
391,g,200
391,i,82
391,r,281
392,g,195
392,i,72
392,r,255
393,g,195
393,i,80
393,r,261
394,g,197
394,i,88
394,r,244
395,g,200
395,i,59
395,r,241
396,g,218
396,i,94
396,r,276
397,g,199
397,i,60
397,r,298
398,g,209
398,i,61
398,r,286
399,g,220
399,i,75
399,r,303
400,g,238
400,i,75
400,r,281
401,g,233
401,i,73
401,r,256
402,g,226
402,i,49
402,r,227
403,g,222
403,i,59
403,r,228
404,g,215
404,i,3
404,r,203
405,g,241
405,i,42
405,r,253
406,g,326
406,i,45
406,r,317
407,g,206
407,i,1
407,r,210
408,g,194
408,i,3
408,r,215
409,g,194
409,i,1
409,r,203
410,g,234
410,i,41
410,r,239
411,g,233
411,i,32
411,r,782
412,g,192
412,i,36
412,r,724
413,g,233
413,i,38
413,r,618
414,g,242
414,i,41
414,r,280
415,g,197
415,i,40
415,r,216
416,g,198
416,i,43
416,r,422
417,g,208
417,i,41
417,r,278
418,g,197
418,i,39
418,r,229
419,g,185
419,i,44
419,r,210
420,g,166
420,i,45
420,r,230
421,g,163
421,i,44
421,r,257
422,g,161
422,i,51
422,r,257
423,g,167
423,i,53
423,r,249
424,g,183
424,i,76
424,r,256
425,g,200
425,i,79
425,r,249
426,g,193
426,i,79
426,r,289
427,g,209
427,i,79
427,r,300
428,g,207
428,i,2
428,r,316
429,g,204
429,r,279
430,g,220
430,r,326
431,g,219
431,i,1
431,r,362
432,g,238
432,i,1
432,r,359
433,g,251
433,i,1
433,r,544
434,g,250
434,r,565
435,g,340
435,i,185
435,r,644
436,g,337
436,i,188
436,r,888
437,g,254
437,i,3
437,r,798
438,g,249
438,i,2
438,r,591
439,g,255
439,i,70
439,r,359
440,g,238
440,i,113
440,r,327
441,g,233
441,i,110
441,r,293
442,g,234
442,i,111
442,r,320
443,g,223
443,i,88
443,r,321
444,g,217
444,i,92
444,r,294
445,g,227
445,i,93
445,r,274
446,g,217
446,i,90
446,r,282
447,g,239
447,i,92
447,r,336
448,g,234
448,i,85
448,r,324
449,g,239
449,i,85
449,r,346
450,g,246
450,i,83
450,r,437
451,g,250
451,i,64
451,r,414
452,g,241
452,i,63
452,r,268
453,g,229
453,i,6
453,r,251
454,g,237
454,i,3
454,r,249
455,g,235
455,r,247
456,g,231
456,r,238
457,g,230
457,i,44
457,r,230
458,g,213
458,i,2
458,r,216
459,g,210
459,i,2
459,r,224
460,g,250
460,i,45
460,r,261
461,g,241
461,i,36
461,r,251
462,g,204
462,r,509
463,g,195
463,i,37
463,r,490
464,g,236
464,i,41
464,r,713
465,g,229
465,i,46
465,r,311
466,g,206
466,i,43
466,r,610
467,g,199
467,i,45
467,r,457
468,g,201
468,i,46
468,r,282
469,g,199
469,i,41
469,r,260
470,g,199
470,i,49
470,r,283
471,g,187
471,i,50
471,r,259
472,g,187
472,i,52
472,r,267
473,g,296
473,i,52
473,r,390
474,g,194
474,i,85
474,r,317
475,g,208
475,i,79
475,r,306
476,g,224
476,i,85
476,r,291
477,g,237
477,i,93
477,r,318
478,g,225
478,i,99
478,r,375
479,g,287
479,i,107
479,r,480
480,g,285
480,i,102
480,r,440
481,g,302
481,i,139
481,r,508
482,g,260
482,i,142
482,r,418
483,g,263
483,i,1
483,r,473
484,g,281
484,i,1
484,r,462
485,g,287
485,i,1
485,r,585
486,g,289
486,i,1
486,r,606
487,g,419
487,i,160
487,r,764
488,g,426
488,i,156
488,r,942
489,g,268
489,i,1
489,r,765
490,g,272
490,i,1
490,r,604
491,g,276
491,i,111
491,r,388
492,g,274
492,i,121
492,r,381
493,g,270
493,i,118
493,r,417
494,g,276
494,i,114
494,r,367
495,g,263
495,i,107
495,r,329
496,g,254
496,i,99
496,r,306
497,g,261
497,i,98
497,r,316
498,g,240
498,i,91
498,r,307
499,g,273
499,i,104
499,r,390
500,g,288
500,i,104
500,r,385
501,g,269
501,i,84
501,r,375
502,g,268
502,i,81
502,r,469
503,g,272
503,i,73
503,r,452
504,g,237
504,i,74
504,r,441
505,g,250
505,i,19
505,r,419
506,g,282
506,i,14
506,r,298
507,g,256
507,i,10
507,r,308
508,g,252
508,i,5
508,r,295
509,g,246
509,i,7
509,r,290
510,g,239
510,i,7
510,r,278
511,g,227
511,i,8
511,r,278
512,g,268
512,i,43
512,r,529
513,g,265
513,i,41
513,r,641
514,g,209
514,i,46
514,r,378
515,g,212
515,i,41
515,r,688
516,g,259
516,i,41
516,r,910
517,g,242
517,i,49
517,r,593
518,g,209
518,i,54
518,r,616
519,g,209
519,i,51
519,r,483
520,g,216
520,i,49
520,r,324
521,g,225
521,i,54
521,r,297
522,g,215
522,i,55
522,r,321
523,g,260
523,i,153
523,r,362
524,g,289
524,i,157
524,r,357
525,g,393
525,i,90
525,r,490
526,g,249
526,i,132
526,r,442
527,g,242
527,i,111
527,r,418
528,g,342
528,i,122
528,r,430
529,g,316
529,i,134
529,r,463
530,g,317
530,i,142
530,r,490
531,g,314
531,i,150
531,r,491
532,g,316
532,i,160
532,r,532
533,g,364
533,i,165
533,r,545
534,g,490
534,i,166
534,r,674
535,g,308
535,i,153
535,r,501
536,g,320
536,i,12
536,r,498
537,g,305
537,i,8
537,r,628
538,g,288
538,i,9
538,r,875
539,g,475
539,i,171
539,r,1001
540,g,478
540,i,168
540,r,1043
541,g,304
541,i,11
541,r,866
542,g,298
542,i,12
542,r,604
543,g,305
543,i,158
543,r,431
544,g,513
544,i,127
544,r,666
545,g,517
545,i,121
545,r,688
546,g,506
546,i,119
546,r,767
547,g,312
547,i,133
547,r,396
548,g,321
548,i,128
548,r,387
549,g,298
549,i,125
549,r,361
550,g,369
550,i,141
550,r,523
551,g,327
551,i,114
551,r,462
552,g,329
552,i,110
552,r,459
553,g,319
553,i,90
553,r,509
554,g,306
554,i,85
554,r,505
555,g,269
555,i,29
555,r,457
556,g,278
556,i,30
556,r,502
557,g,288
557,i,21
557,r,761
558,g,263
558,i,13
558,r,770
559,g,262
559,i,6
559,r,402
560,g,265
560,i,9
560,r,384
561,g,251
561,i,2
561,r,369
562,g,277
562,i,45
562,r,399
563,g,287
563,i,44
563,r,399
564,g,217
564,i,50
564,r,892
565,g,222
565,i,44
565,r,853
566,g,270
566,i,39
566,r,672
567,g,252
567,i,50
567,r,945
568,g,238
568,i,53
568,r,645
569,g,219
569,i,54
569,r,686
570,g,240
570,i,56
570,r,558
571,g,254
571,i,53
571,r,383
572,g,241
572,i,61
572,r,326
573,g,242
573,i,64
573,r,331
574,g,306
574,i,174
574,r,443
575,g,325
575,i,172
575,r,414
576,g,375
576,i,213
576,r,559
577,g,327
577,i,117
577,r,515
578,g,345
578,i,129
578,r,553
579,g,357
579,i,136
579,r,512
580,g,339
580,i,150
580,r,510
581,g,347
581,i,159
581,r,517
582,g,349
582,i,176
582,r,531
583,g,370
583,i,180
583,r,552
584,g,457
584,i,185
584,r,670
585,g,577
585,i,173
585,r,705
586,g,374
586,i,211
586,r,510
587,g,803
587,i,126
587,r,903
588,g,343
588,i,15
588,r,681
589,g,332
589,i,10
589,r,668
590,g,521
590,i,161
590,r,695
591,g,514
591,i,160
591,r,940
592,g,344
592,i,19
592,r,962
593,g,383
593,i,165
593,r,769
594,g,344
594,i,165
594,r,440
595,g,326
595,i,36
595,r,469
