Source Sucessful Indet Hard Total tquies tout trecur dc states
XTEJ0421+560 0 0 1 1 7019 49 >6271 0.69 HCS
XTEJ1118+480 0 1 1 2 6861 207 2809 2.9 HCS
MAXIJ1305−704 0 1 0 1 6888 180 >5922 2.6 IMS
SWIFTJ1357.2−0933 0 0 1 1 6992 76 >5489 1.1 HCS
GS1354−64 0 0 1 1 6912 156 >6442 2.2 HCS
SWIFTJ1539.2−6227 1 0 0 1 6894 174 >4704 2.5 HCS,SDS,IMS
MAXIJ1543−564 1 0 0 1 6889 179 >5082 2.5 HCS,SDS,IMS
4U1543−475 1 0 0 1 6934 134 >5848 1.9 HCS,SDS,IMS
XTEJ1550−564 2 0 3 5 6539 529 464 7.5 HCS,SDS,IMS
4U1630−472 10 0 0 10 3924 3144 714 44 HCS,SDS,IMS
XTEJ1637−498 0 1 0 1 7054 14 >4615 0.20 N/A
XTEJ1650−500 1 0 0 1 6851 217 >5007 3.1 HCS,SDS,IMS
XTEJ1652−453 1 0 0 1 6910 158 >4912 2.2 HCS,SDS,IMS
GROJ1655−40 2 0 0 2 6562 506 3486 7.2 HCS,SDS,IMS
MAXIJ1659−152 1 0 0 1 6910 158 >3698 2.2 HCS,SDS,IMS
GX339−4 6 0 4 10 3602 3466 501 49 HCS,SDS,IMS
IGRJ17091−3624 1 1 0 2 6118 950 1445 13 HCS,SDS,IMS
IGRJ17098−3628 0 1 0 1 7034 34 >3710 0.48 N/A
SAXJ1711.6−3808 0 0 1 1 6929 139 >5229 2.0 HCS
SWIFTJ1713.4−4219 0 1 0 1 7051 17 >5054 0.24 N/A
XMMSL1J171900.4−353217 0 13 3 16 4906 2162 154 31 HCS
XTEJ1720−318 1 0 0 1 6880 188 >4512 2.7 HCS,SDS,IMS
XTEJ1727−476 1 0 0 1 7015 53 >3551 0.75 HCS,SDS,IMS
IGRJ17285−2922 0 1 1 2 6901 167 2148 2.4 HCS
IGRJ17379−3747 0 1 1 2 7038 30 2868 0.42 HCS
GRS1737−31 0 0 1 1 6968 100 >6659 1.4 HCS
GRS1739−278 2 0 0 2 6374 694 3510 9.8 HCS,SDS,IMS
SWIFTJ174510.8−262411 0 0 1 1 6783 285 >6090 4.0 HCS
IGRJ17454−2919 0 1 0 1 7049 19 >6853 0.27 N/A
H1743−322 6 2 5 13 5515 1553 304 22 HCS,SDS,IMS
XTEJ1748−288 0 0 1 1 6991 77 >6195 1.1 HCS
IGRJ17497−2821 0 0 1 1 6970 98 >6188 1.4 HCS
SLX1746−331 2 1 0 3 6551 517 1619 7.3 HCS,SDS,IMS
XTEJ1752−223 1 0 0 1 6736 332 >5004 4.7 HCS,SDS,IMS
SWIFTJ1753.5−0127 0 1 0 1 3427 3641 >3627 52 HCS,IMS
XTEJ1755−324 1 0 0 1 6944 124 >6519 1.8 HCS,SDS,IMS
XTEJ1812−182 1 0 1 2 6955 113 2250 1.6 HCS,SDS,IMS
IGRJ18175−1530 0 1 0 1 7035 33 >4240 0.47 N/A
XTEJ1817−330 1 0 0 1 6816 252 >3656 3.6 HCS,SDS,IMS
XTEJ1818−245 1 0 0 1 6943 125 >3581 1.8 HCS,SDS,IMS
SAXJ1819.3−2525 1 19 4 24 2911 4157 221 59 HCS,SDS,IMS
MAXIJ1836−194 0 0 1 1 6707 361 >5565 5.1 HCS
SWIFTJ1842.5−1124 1 0 0 1 6841 227 >4542 3.2 HCS,SDS,IMS
XTEJ1856+053 3 1 0 4 6718 350 1523 5.0 HCS,SDS,IMS
XTEJ1859+226 1 0 0 1 6844 224 >5719 3.2 HCS,SDS,IMS
XTEJ1908+094 1 1 0 2 6446 622 2415 8.8 HCS,SDS,IMS
SWIFTJ1910.2−0546 1 0 0 1 6799 270 >5859 3.8 HCS,SDS,IMS
GRS1915+105 1 0 0 1 0 7068 >7068 100 HCS,SDS,IMS
XTEJ2012+381 1 0 0 1 6867 201 >6216 2.8 HCS,SDS,IMS
